hidden_dim, num_layers, lr, epochs, number_systems, loss
2, 6, 0.02, 500, 20, 0.0018793890842061956
2, 6, 0.02, 1000, 5, 0.0016016358153137845
2, 6, 0.02, 1000, 10, 0.0010016671480116202
2, 6, 0.02, 1000, 20, 0.0007657401831238531
2, 6, 0.001, 100, 5, 0.0019849444783176296
2, 6, 0.001, 100, 10, 0.0005261437583612861
2, 6, 0.001, 100, 20, 0.0016175934631974087
2, 6, 0.001, 200, 5, 0.0015827314236958046
2, 6, 0.001, 200, 10, 0.0011705332540714152
2, 6, 0.001, 200, 20, 0.0004748986935737776
2, 6, 0.001, 500, 5, 0.0009481271928962088
2, 6, 0.001, 500, 10, 0.0003623953136411728
2, 6, 0.001, 500, 20, 0.0030822412842098855
2, 6, 0.001, 1000, 5, 0.0018407818977721035
2, 6, 0.001, 1000, 10, 0.0014573570602806284
2, 6, 0.001, 1000, 20, 0.0007475779861124465
2, 6, 0.1, 100, 5, 0.002531116796853894
2, 6, 0.1, 100, 10, 0.0025845772041066086
2, 6, 0.1, 100, 20, 0.00541977689426858
2, 6, 0.1, 200, 5, 0.0016793063357908977
2, 6, 0.1, 200, 10, 0.001459788074134849
2, 6, 0.1, 200, 20, 0.000916254022740759
2, 6, 0.1, 500, 5, 0.0006034985213773325
2, 6, 0.1, 500, 10, 0.0007267010128998663
2, 6, 0.1, 500, 20, 0.0011226985894609242
2, 6, 0.1, 1000, 5, 0.006383284848288895
2, 6, 0.1, 1000, 10, 0.0011296607211988886
2, 6, 0.1, 1000, 20, 0.0060053490044083445
2, 8, 0.01, 100, 5, 0.0010273988693370484
2, 8, 0.01, 100, 10, 0.0003177106500515947
2, 8, 0.01, 100, 20, 0.00035443665638013044
2, 8, 0.01, 200, 5, 0.0004548502591205761
2, 8, 0.01, 200, 10, 0.0005598112275038147
2, 8, 0.01, 200, 20, 0.0009862060047453268
2, 8, 0.01, 500, 5, 0.0004518034198554233
2, 8, 0.01, 500, 10, 0.0004906683407170931
2, 8, 0.01, 500, 20, 0.004130117413478729
2, 8, 0.01, 1000, 5, 0.001843254448613152
2, 8, 0.01, 1000, 10, 0.0020464503788389264
2, 8, 0.01, 1000, 20, 0.0018081816626363434
2, 8, 0.005, 100, 5, 0.0015189249945251504
2, 8, 0.005, 100, 10, 0.0009062253739102744
2, 8, 0.005, 100, 20, 0.0006762783359590685
2, 8, 0.005, 200, 5, 0.0005640292234602384
2, 8, 0.005, 200, 10, 0.0019568391275242903
2, 8, 0.005, 200, 20, 0.0006570914250914939
2, 8, 0.005, 500, 5, 0.0006850080175354378
2, 8, 0.005, 500, 10, 0.0005729165270167869
2, 8, 0.005, 500, 20, 0.001986662445415277
2, 8, 0.005, 1000, 5, 0.0015681675991800147
2, 8, 0.005, 1000, 10, 0.0001333967586106155
2, 8, 0.005, 1000, 20, 0.0030311809518025258
2, 8, 0.02, 100, 5, 0.0029212053093942815
2, 8, 0.02, 100, 10, 0.0007717970864177914
2, 8, 0.02, 100, 20, 0.000584390630137932
2, 8, 0.02, 200, 5, 0.0006527908923999349
2, 8, 0.02, 200, 10, 0.00032405726888100616
2, 8, 0.02, 200, 20, 0.002158845084704808
2, 8, 0.02, 500, 5, 0.00326220425486099
2, 8, 0.02, 500, 10, 0.000933103590796236
2, 8, 0.02, 500, 20, 0.0018348235018493142
2, 8, 0.02, 1000, 5, 0.0009672599364421331
2, 8, 0.02, 1000, 10, 0.0015559337283775677
2, 8, 0.02, 1000, 20, 0.0026482399080123287
2, 8, 0.001, 100, 5, 0.0015875822915404568
2, 8, 0.001, 100, 10, 0.0005634979424939957
2, 8, 0.001, 100, 20, 0.0019013036310525423
2, 8, 0.001, 200, 5, 0.0006371679141011555
2, 8, 0.001, 200, 10, 0.001220431527326582
2, 8, 0.001, 200, 20, 0.003337403266050387
2, 8, 0.001, 500, 5, 0.0012430262853740715
2, 8, 0.001, 500, 10, 0.0017880674033222022
2, 8, 0.001, 500, 20, 0.0013199412022004253
2, 8, 0.001, 1000, 5, 0.0009231615636963397
2, 8, 0.001, 1000, 10, 0.0007121066122635966
2, 8, 0.001, 1000, 20, 0.0005306880993884988
2, 8, 0.1, 100, 5, 0.0012288991532841465
2, 8, 0.1, 100, 10, 0.0006012636818923056
2, 8, 0.1, 100, 20, 0.0009192196754156612
2, 8, 0.1, 200, 5, 0.0038371208429452963
2, 8, 0.1, 200, 10, 0.001786235245890566
2, 8, 0.1, 200, 20, 0.0006492672211606987
2, 8, 0.1, 500, 5, 0.0012956184466020205
2, 8, 0.1, 500, 10, 0.0024003318045288323
2, 8, 0.1, 500, 20, 0.0014385331318862882
2, 8, 0.1, 1000, 5, 0.0008867909242326278
2, 8, 0.1, 1000, 10, 0.0030868296014887166
2, 8, 0.1, 1000, 20, 0.0006764179539459292
4, 2, 0.01, 100, 5, 0.00037361426002462393
4, 2, 0.01, 100, 10, 0.00043702735711121933
4, 2, 0.01, 100, 20, 0.00019232798877055757
4, 2, 0.01, 200, 5, 0.000871250534464707
4, 2, 0.01, 200, 10, 0.0005401590764449793
4, 2, 0.01, 200, 20, 0.002563253076186811
4, 2, 0.01, 500, 5, 0.00753008498577401
4, 2, 0.01, 500, 10, 0.003714178827613068
4, 2, 0.01, 500, 20, 0.005635268311016262
4, 2, 0.01, 1000, 5, 0.002890272391232429
4, 2, 0.01, 1000, 10, 0.0031958811945514754
4, 2, 0.01, 1000, 20, 0.006983461265917867
4, 2, 0.005, 100, 5, 0.0031023991752590517
4, 2, 0.005, 100, 10, 0.0011464267798146465
4, 2, 0.005, 100, 20, 0.0010038707929197698
4, 2, 0.005, 200, 5, 0.001035468692862196
4, 2, 0.005, 200, 10, 0.001654428322217427
4, 2, 0.005, 200, 20, 0.005119795021528262
4, 2, 0.005, 500, 5, 0.001646488019014214
4, 2, 0.005, 500, 10, 0.0009981714887544514
4, 2, 0.005, 500, 20, 0.0017632416973356157
4, 2, 0.005, 1000, 5, 0.0009277907297700949
4, 2, 0.005, 1000, 10, 0.001331689513017409
4, 2, 0.005, 1000, 20, 0.0015896866461844184
4, 2, 0.02, 100, 5, 0.0025040881515451473
4, 2, 0.02, 100, 10, 0.0020121056062635035
4, 2, 0.02, 100, 20, 0.00023490141611546279
4, 2, 0.02, 200, 5, 0.0008024525610380806
4, 2, 0.02, 200, 10, 0.0016070920100901276
4, 2, 0.02, 200, 20, 0.0010629711297951872
4, 2, 0.02, 500, 5, 0.0016419553223386175
4, 2, 0.02, 500, 10, 0.004590766516776057
4, 2, 0.02, 500, 20, 0.00046023371724004394
4, 2, 0.02, 1000, 5, 0.0007306106097530573
4, 2, 0.02, 1000, 10, 0.001057925545501348
4, 2, 0.02, 1000, 20, 0.0011400524686905555
4, 2, 0.001, 100, 5, 0.001244547277019592
4, 2, 0.001, 100, 10, 0.00043645428122545126
4, 2, 0.001, 100, 20, 0.00028287183231441305
4, 2, 0.001, 200, 5, 0.0028972550066100667
4, 2, 0.001, 200, 10, 0.0006475352764027775
4, 2, 0.001, 200, 20, 0.0002953626746602822
4, 2, 0.001, 500, 5, 0.002847487075632671
4, 2, 0.001, 500, 10, 0.0019076343065535183
4, 2, 0.001, 500, 20, 0.0016628211917122826
4, 2, 0.001, 1000, 5, 0.0016571020853007213
4, 2, 0.001, 1000, 10, 0.0017806525211199187
4, 2, 0.001, 1000, 20, 0.010165701510049984
4, 2, 0.1, 100, 5, 0.0005248960931567126
4, 2, 0.1, 100, 10, 0.003117674907844048
4, 2, 0.1, 100, 20, 0.001691522047349281
4, 2, 0.1, 200, 5, 0.0018710772827034816
4, 2, 0.1, 200, 10, 0.0010006859476561659
4, 2, 0.1, 200, 20, 0.002905335252853547
4, 2, 0.1, 500, 5, 0.002558548747038003
4, 2, 0.1, 500, 10, 0.0024030385655350985
4, 2, 0.1, 500, 20, 0.0005577735763836244
4, 2, 0.1, 1000, 5, 0.0007237153105961625
4, 2, 0.1, 1000, 10, 0.0011463284041383303
4, 2, 0.1, 1000, 20, 0.004596957735429896
4, 4, 0.01, 100, 5, 0.0016337789777026047
4, 4, 0.01, 100, 10, 0.001571082871305407
4, 4, 0.01, 100, 20, 0.0006227527737792116
4, 4, 0.01, 200, 5, 0.0017382521233230363
4, 4, 0.01, 200, 10, 0.003080486800172366
4, 4, 0.01, 200, 20, 0.003602242935630784
4, 4, 0.01, 500, 5, 0.0009212811874022009
4, 4, 0.01, 500, 10, 0.0014692476455820725
4, 4, 0.01, 500, 20, 0.00029320505855139344
4, 4, 0.01, 1000, 5, 0.007020119532535318
4, 4, 0.01, 1000, 10, 0.0022892319211678114
4, 4, 0.01, 1000, 20, 0.002240446199721191
4, 4, 0.005, 100, 5, 0.00044168308277221514
4, 4, 0.005, 100, 10, 0.0029783043790303056
4, 4, 0.005, 100, 20, 0.0063307585169241065
4, 4, 0.005, 200, 5, 0.001983872538403375
4, 4, 0.005, 200, 10, 0.0017969587535844767
4, 4, 0.005, 200, 20, 0.0014701902053275262
4, 4, 0.005, 500, 5, 0.0035050051985308526
4, 4, 0.005, 500, 10, 0.00040826526692399056
4, 4, 0.005, 500, 20, 0.0011374531553883572
4, 4, 0.005, 1000, 5, 0.0007721556321484968
4, 4, 0.005, 1000, 10, 0.0015095250819285866
4, 4, 0.005, 1000, 20, 0.001239951777824899
4, 4, 0.02, 100, 5, 0.00042056158745253926
4, 4, 0.02, 100, 10, 0.0006305546758085256
4, 4, 0.02, 100, 20, 0.0016128842005855403
4, 4, 0.02, 200, 5, 0.0005716487441532081
4, 4, 0.02, 200, 10, 0.0017394115986462567
4, 4, 0.02, 200, 20, 0.0008556537730328273
4, 4, 0.02, 500, 5, 0.001116454676957801
4, 4, 0.02, 500, 10, 0.0021622349941026187
4, 4, 0.02, 500, 20, 0.0013099304378556553
4, 4, 0.02, 1000, 5, 0.002214394052134594
4, 4, 0.02, 1000, 10, 0.0021258233497064793
4, 4, 0.02, 1000, 20, 0.0013460079371725442
4, 4, 0.001, 100, 5, 0.0021475101737451043
4, 4, 0.001, 100, 10, 0.0009040711709531024
4, 4, 0.001, 100, 20, 0.0004715590264822822
4, 4, 0.001, 200, 5, 0.0009007270578877069
4, 4, 0.001, 200, 10, 0.0014508230029605328
4, 4, 0.001, 200, 20, 0.0006853767234133556
4, 4, 0.001, 500, 5, 0.001864667319750879
4, 4, 0.001, 500, 10, 0.0012375371934467694
4, 4, 0.001, 500, 20, 0.00031152590781857725
4, 4, 0.001, 1000, 5, 0.001368677392747486
4, 4, 0.001, 1000, 10, 0.002148812808445655
4, 4, 0.001, 1000, 20, 0.0012964493813342414
4, 4, 0.1, 100, 5, 0.0011972806685662362
4, 4, 0.1, 100, 10, 0.004186275289976038
4, 4, 0.1, 100, 20, 0.0006925792189576896
4, 4, 0.1, 200, 5, 0.0006228449288755656
4, 4, 0.1, 200, 10, 0.00044113704861956646
4, 4, 0.1, 200, 20, 0.002320075986790471
